"country_code","country_full","brand","model","num_ads","total_ads"
17,"germany","VW","GOLF",227792,5638816
17,"germany","OPEL","CORSA",109231,5638816
17,"germany","VW","TIGUAN",83993,5638816
17,"germany","OPEL","ASTRA",82863,5638816
17,"germany","VW","POLO",79581,5638816
17,"germany","FORD","FOCUS",74265,5638816
17,"germany","VW","T-ROC",73419,5638816
17,"germany","AUDI","A3",71231,5638816
17,"germany","AUDI","A4",68956,5638816
17,"germany","SKODA","OCTAVIA",68745,5638816
17,"germany","AUDI","A6",63273,5638816
17,"germany","VW","PASSAT",57375,5638816
17,"germany","FORD","KUGA",56600,5638816
17,"germany","SKODA","FABIA",48250,5638816
17,"germany","VW","TOURAN",47274,5638816
17,"germany","BMW","320",46367,5638816
17,"germany","SEAT","LEON",43551,5638816
17,"germany","FORD","FIESTA",42574,5638816
17,"germany","VW","CADDY",42365,5638816
17,"germany","BMW","X3",40416,5638816
17,"germany","OPEL","MOKKA",37244,5638816
17,"germany","BMW","X1",36751,5638816
17,"germany","HYUNDAI","TUCSON",36290,5638816
17,"germany","SEAT","IBIZA",35963,5638816
17,"germany","CUPRA","FORMENTOR",34398,5638816
17,"germany","AUDI","Q3",34141,5638816
17,"germany","AUDI","Q5",33543,5638816
17,"germany","VW","T-CROSS",33100,5638816
17,"germany","AUDI","A5",32880,5638816
17,"germany","PEUGEOT","208",31576,5638816
17,"germany","HYUNDAI","I30",31493,5638816
17,"germany","VW","PASSAT VARIANT",31157,5638816
17,"germany","MERCEDES_BENZ","VITO",29773,5638816
17,"germany","FORD","PUMA",29320,5638816
17,"germany","BMW","118",29269,5638816
17,"germany","NISSAN","QASHQAI",28520,5638816
17,"germany","PEUGEOT","2008",27789,5638816
17,"germany","BMW","X5",27695,5638816
17,"germany","BMW","520",26910,5638816
17,"germany","SKODA","KODIAQ",26312,5638816
17,"germany","PEUGEOT","3008",26205,5638816
17,"germany","RENAULT","CLIO",26162,5638816
17,"germany","AUDI","A1",25773,5638816
17,"germany","MERCEDES_BENZ","C 180",25773,5638816
17,"germany","SKODA","SUPERB",25620,5638816
17,"germany","MERCEDES_BENZ","C 200",25448,5638816
17,"germany","MERCEDES_BENZ","C 220",25228,5638816
17,"germany","BMW","318",24836,5638816
17,"germany","SKODA","KAROQ",24228,5638816
17,"germany","OPEL","INSIGNIA",24172,5638816
17,"germany","VW","TAIGO",24096,5638816
17,"germany","DACIA","DUSTER",24019,5638816
17,"germany","SEAT","ARONA",24003,5638816
17,"germany","BMW","530",23724,5638816
17,"germany","FIAT","500",23656,5638816
17,"germany","MERCEDES_BENZ","E 220",23448,5638816
17,"germany","KIA","SPORTAGE",23160,5638816
17,"germany","MERCEDES_BENZ","E 300",22784,5638816
17,"germany","SKODA","KAMIQ",22772,5638816
17,"germany","BMW","330",22657,5638816
17,"germany","FORD","TRANSIT",22456,5638816
17,"germany","MERCEDES_BENZ","SPRINTER",22388,5638816
17,"germany","TOYOTA","YARIS",22177,5638816
17,"germany","DACIA","SANDERO",22167,5638816
17,"germany","MERCEDES_BENZ","V 300",22052,5638816
17,"germany","MERCEDES_BENZ","A 180",21584,5638816
17,"germany","AUDI","Q2",21443,5638816
17,"germany","HYUNDAI","I20",21374,5638816
17,"germany","CUPRA","LEON",20824,5638816
17,"germany","MERCEDES_BENZ","C 300",20121,5638816
17,"germany","VW","TIGUAN ALLSPACE",20092,5638816
17,"germany","MERCEDES_BENZ","GLC 300",20040,5638816
17,"germany","HYUNDAI","I10",19386,5638816
17,"germany","RENAULT","TWINGO",18936,5638816
17,"germany","PEUGEOT","308",18701,5638816
17,"germany","MINI","COOPER",18586,5638816
17,"germany","HYUNDAI","KONA",18578,5638816
17,"germany","FORD","TRANSIT CUSTOM",18289,5638816
17,"germany","RENAULT","CAPTUR",18288,5638816
17,"germany","RENAULT","MEGANE",18247,5638816
17,"germany","SEAT","ATECA",17778,5638816
17,"germany","MERCEDES_BENZ","A 200",17611,5638816
17,"germany","BMW","116",17472,5638816
17,"germany","MERCEDES_BENZ","B 200",17371,5638816
17,"germany","MERCEDES_BENZ","E 200",17304,5638816
17,"germany","OPEL","GRANDLAND X",17219,5638816
17,"germany","VW","TOUAREG",17174,5638816
17,"germany","PORSCHE","CAYENNE",16666,5638816
17,"germany","MERCEDES_BENZ","B 180",16343,5638816
17,"germany","CITROEN","C3",16031,5638816
17,"germany","MINI","COOPER S",15084,5638816
17,"germany","TOYOTA","AYGO",14949,5638816
17,"germany","MERCEDES_BENZ","CLA 200",14625,5638816
17,"germany","VW","ARTEON",14611,5638816
17,"germany","FORD","MONDEO",14278,5638816
17,"germany","OPEL","MERIVA",14152,5638816
17,"germany","VOLVO","XC60",14092,5638816
17,"germany","VW","ID.3",13998,5638816
17,"germany","BMW","218",13981,5638816
17,"germany","AUDI","Q4 E-TRON",13932,5638816
17,"germany","OPEL","CROSSLAND X",13661,5638816
17,"germany","PEUGEOT","5008",13631,5638816
17,"germany","BMW","120",13570,5638816
17,"germany","MERCEDES_BENZ","V 250",13509,5638816
17,"germany","FIAT","500C",13413,5638816
17,"germany","TOYOTA","COROLLA",12913,5638816
17,"germany","OPEL","ZAFIRA",12831,5638816
17,"germany","VW","T7 MULTIVAN",12791,5638816
17,"germany","MINI","ONE",12578,5638816
17,"germany","SKODA","SCALA",12474,5638816
